Date / Time,Temperature [C],DissolvedOxygen [mg/l],Time (s) Run 1,pH Run 3,Voltage (mV) Run 3,Conductivity (µS/cm) Run 1
4/13/2022 18:15,20.4,4.24,0,7.28,-19,5.3
4/13/2022 18:17,17,8.48,120,8.01,-63,10.7
4/13/2022 18:19,16.8,549.36,240,7.86,-54,690.7
4/13/2022 18:21,16.8,548.3,360,7.89,-56,689.3
4/13/2022 18:23,16.7,548.83,480,7.88,-55,690
4/13/2022 18:25,16.7,548.83,600,7.88,-55,690
4/13/2022 18:27,16.7,548.83,720,7.89,-56,690
4/13/2022 18:29,16.7,548.57,840,7.89,-56,689.7
4/13/2022 18:31,16.7,548.57,960,7.88,-55,689.7
4/13/2022 18:33,16.7,548.83,1080,7.88,-55,690
4/13/2022 18:35,16.6,548.57,1200,7.88,-55,689.7
4/13/2022 18:37,16.6,548.3,1320,7.88,-55,689.3
4/13/2022 18:39,16.6,548.04,1440,7.88,-55,689
4/13/2022 18:41,16.6,547.77,1560,7.86,-54,688.7
4/13/2022 18:43,16.6,548.04,1680,7.88,-55,689
4/13/2022 18:45,16.6,548.04,1800,7.86,-54,689
4/13/2022 18:47,16.5,547.51,1920,7.86,-54,688.3
4/13/2022 18:49,16.5,547.24,2040,7.86,-54,688
4/13/2022 18:51,16.5,546.71,2160,7.88,-55,687.3
4/13/2022 18:53,16.5,546.44,2280,7.86,-54,687
4/13/2022 18:55,16.5,545.91,2400,7.88,-55,686.3
4/13/2022 18:57,16.5,545.91,2520,7.86,-54,686.3
4/13/2022 18:59,16.4,545.91,2640,7.86,-54,686.3
4/13/2022 19:01,16.4,545.65,2760,7.88,-55,686
4/13/2022 19:03,16.4,545.12,2880,7.86,-54,685.3
4/13/2022 19:05,16.4,545.12,3000,7.86,-54,685.3
4/13/2022 19:07,16.4,545.12,3120,7.86,-54,685.3
4/13/2022 19:09,16.3,545.12,3240,7.86,-54,685.3
4/13/2022 19:11,16.3,544.59,3360,7.86,-54,684.7
4/13/2022 19:13,16.3,544.32,3480,7.86,-54,684.3
4/13/2022 19:15,16.3,544.06,3600,7.84,-53,684
4/13/2022 19:17,16.3,543.79,3720,7.84,-53,683.7
4/13/2022 19:19,16.3,543.26,3840,7.83,-52,683
4/13/2022 19:21,16.2,543.26,3960,7.84,-53,683
4/13/2022 19:23,16.2,543,4080,7.84,-53,682.7
4/13/2022 19:25,16.2,542.47,4200,7.86,-54,682
4/13/2022 19:27,16.1,542.2,4320,7.83,-52,681.7
4/13/2022 19:29,16.1,541.94,4440,7.84,-53,681.3
4/13/2022 19:31,16.1,541.41,4560,7.86,-54,680.7
